rotten_tomatoes_link,movie_title,movie_info,critics_consensus,content_rating,genres,directors,authors,actors,original_release_date,streaming_release_date,runtime,production_company,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count
m/1009123-hamlet,Hamlet,"Winner of four Academy Awards, including Best Picture and Best Actor, Sir Laurence Olivier's ""Hamlet"" continues to be the most compelling version of Shakespeare's beloved tragedy. Olivier is at his most inspired - both as director and as the melancholy Dane himself - as he breathes new life into the words of one of the world's greatest dramatists.","A well-executed labor of love from star and director Laurence Olivier, Hamlet not only proved that Shakespeare could be successfully adapted to the big screen, it paved the way for further cinematic interpretations.",NR,"Classics, Drama",Laurence Olivier,"Laurence Olivier, Alan Dent","Laurence Olivier, Jean Simmons, Eileen Herlie, Basil Sydney, Norman Wooland, Felix Aylmer, Terence Morgan, Peter Cushing, Stanley Holloway, John Laurie, Esmond Knight, Anthony Quayle, Niall MacGinnis, Harcourt Williams, Russell Thorndike, Patrick Troughton, Tony Tarver, Anthony Bushell, Christopher Lee, Patrick Macnee, John Gielgud",5/4/1948,3/23/2017,153,Universal,Certified-Fresh,95,40,Upright,80,7542,8,38,2
m/1009649-hindenburg,The Hindenburg,"Nazi Germany's prized airship is threatened with sabotage, so Col. Franz Ritter (George C. Scott) is charged with its safety. As the massive zeppelin lifts off for a journey to the United States, Ritter investigates the passengers, looking for a potential bomber. Could it be anti-Nazi Countess Ursula von Reugen (Anne Bancroft), suspicious gambler Emilio Pajetta (Burgess Meredith), shifty advertising man Edward Douglas (Gig Young) or even the pilot, Capt. Pruss (Charles Durning) ?",,PG,"Action & Adventure, Drama, Mystery & Suspense","Robert Wise, John A. Bolger, Jr.","Nelson Gidding, William Link, Richard A. Levinson","George C. Scott, Anne Bancroft, Gig Young, Roy Thinnes, William Atherton, Burgess Meredith, Charles Durning, Richard Dysart, ROBERT CLARY, Rene Auberjonois, Peter Donat, Alan Oppenheimer, Katherine Helmond, Joanna Cook Moore, Stephen Elliott, Joyce Davis, Jean Rasey, John Lee, Ted Gehring, Lisa Pera, Joe Di Reda, Peter Canon, Charles Macaulay, Rex Holman, Jan Merlin, Betsy Jones-Moreland, Colby Chester, Teno Pollick, Curt Lowens, Kip Niven, Michael Richardson, Herbert Nelson, Scott Walker, Ruth Kobart, Greg Mullavey, Val Bisoglio, Simon Scott, William Sylvester, David Mauro, Joe Turkel, Sandy Ward, Johnny Lee, Stephen Manley, Norman Alden, Howard Shore",1/1/1975,5/19/2016,125,Universal Pictures,Rotten,36,14,Spilled,37,2249,1,5,9
m/1010417-imitation_of_life,Imitation of Life,"Lora Meredith (Lana Turner), a white single mother who dreams of being on Broadway, has a chance encounter with Annie Johnson (Juanita Moore), a black widow. Annie becomes the caretaker of Lora's daughter, Suzie (Sandra Dee), while Lora pursues her stage career. Both women deal with the difficulties of motherhood: Lora's thirst for fame threatens her relationship with Suzie, while Annie's light-skinned daughter, Sarah Jane (Susan Kohner), struggles with her African-American identity.","Douglas Sirk enriches this lush remake of Imitation of Life with racial commentary and a sharp edge, yielding a challenging melodrama with the power to devastate.",NR,"Classics, Drama",Douglas Sirk,"Allan Scott, Douglas Sirk, Eleanore Griffin","Lana Turner, Juanita Moore, John Gavin, Sandra Dee, Dan O'Herlihy, Troy Donahue, Jack Weston, Susan Kohner, Robert Alda, Mahalia Jackson, Karen Dicker, Terry Burnham, John Vivyan, Lee Goodman, Ann Robinson, Sandra Gould, David Tomack, Joel Fluellen, Billy House, Maida Severn, Than Wyenn, Peg Shirley, Cicely Evans, Bess Flowers, Paul Bradley, Napoleon Whiting, Myrna Fahey, Eddie Parker, George Barrows",4/30/1959,3/18/2014,125,Universal Studios,Fresh,81,27,Upright,91,9590,9,22,5
m/1010745-island,The Island,"Skeptical journalist Blair Maynard (Michael Caine) is assigned to explore the area known as the Bermuda Triangle, where thousands of boats have disappeared in a three-year span. When he leaves the Florida coast with his adolescent son, Justin (Jeffrey Frank), their boat is shanghaied by a group of pirates led by the tyrannical John David Nau (David Warner). The pirates, who have lived undisturbed in the area for centuries, see father and son as new blood for their increasingly inbred clan.",,R,"Drama, Horror, Mystery & Suspense",Michael Ritchie,Peter Benchley,"Michael Caine, David Warner, Angela Punch McGregor, Frank Middlemass, Don Henderson, Dudley Sutton, Colin Jeavons, Zakes Mokae, Brad Sullivan, Jeffrey Frank, John O'Leary, Bruce McLaughlin, James J. Casino, Suzanne Astor, Reg Evans, Susan Bredhoff, David Hart, Cary Hoffman, Robert Hirschfeld, Gary Hoffman, William G. Schilling, Stewart Steinberg, Bob Westmoreland, Hugo Arana, Alicia Bruzzo, Graciela Dufau, John Macchia",6/13/1980,4/19/2016,114,Universal Pictures,Rotten,40,5,Spilled,51,7403,0,2,3
m/1011028-jesus_christ_superstar,Jesus Christ Superstar,"Adapted from Andrew Lloyd Webber and Tim Rice's Broadway rock opera, ""Jesus Christ Superstar"" recounts the last days of Jesus Christ (Ted Neeley) from the perspective of Judas Iscariot (Carl Anderson), his betrayer. As Jesus' following increases, Judas begins to worry that Jesus is falling for his own hype, forgetting the principles of his teachings and growing too close to the prostitute Mary Magdalene (Yvonne Elliman). After Jesus has an outburst in a temple, Judas turns on him.","Jesus Christ Superstar has too much spunk to fall into sacrilege, but miscasting and tonal monotony halts this musical's groove.",G,"Drama, Musical & Performing Arts, Faith & Spirituality",Norman Jewison,"Melvyn Bragg, Norman Jewison","Ted Neeley, Yvonne Elliman, Carl Anderson (II), Barry Dennen, Bob Bingham, Larry T. Marshall, Josh Mostel, Pi Douglas, Philip Toubus, Kurt Yahgjian, Pi Douglass, Jonathan Wynne, Richard Molinare, Jeffrey Hyslop, Robert LuPone, Thommie Walsh, David Devir, Larry Marshall, Richard Orbach, Shooki Wagner, Darcel Wynne, Sally Neal, Vera Biloshisky, Wendy Maltby, Baayork Lee, Susan Allanson, Ellen Hoffman, Judith Daby, Adaya Pilo, Marcia McBroom, Leeyan Granger, Kathryn Wright, Denise Pence, Wyetta Turner, Tamar Zafria, Riki Oren, Lea Kestin, Zvulun Cohen, Meir Israel, Itzhak Sidranski, David Rfjwan, Amity Razi, Avi Ben-Haim, Haim Bashi, David Duack, Steve Boockvor, Peter Luria, David Barkan, Danny Basevitch, Cliff Michaelevski, Tom Guest, Stephen Denenberg, Didi Liekov, Doron Gaash, Noam Cohen, Zvi Lehat, Moshe Uziel, Andre Previn",8/15/1973,4/19/2016,107,Universal Studios,Rotten,52,25,Upright,76,36376,3,13,12
m/1012164-legend,Legend,"Darkness (Tim Curry) seeks to create eternal night by destroying the last of the unicorns. Jack (Tom Cruise) and his friends do everything possible to save the world and Princess Lili (Mia Sara) from the hands of Darkness. Enter a world of unicorns, magic swamps, dwarfs and rainbows.",Not even Ridley Scott's gorgeously realized set pieces can save Legend from its own tawdry tale -- though it may be serviceable for those simply looking for fantasy eye candy.,PG,"Drama, Science Fiction & Fantasy",Ridley Scott,William Hjortsberg,"Tom Cruise, Mia Sara, Tim Curry, David Bennent, Alice Playten, Billy Barty, Cork Hubbert, Peter O'Farrell, Kiran Shah, Mike Edmonds, Annabelle Lanyon, Robert Picardo, Tina Martin, Ian Longmuir, Mike Crane, Liz Gilbert, Eddie Powell",4/18/1985,12/3/2015,89,Universal Pictures,Rotten,38,40,Upright,73,101568,8,15,25
m/1012993-madame_x,Madame X,"Holly Parker (Lana Turner) is married to high-powered diplomat Clay Anderson (John Forsythe), but finds that her attention wanders when he's away. She starts an affair with a wealthy bachelor (Ricardo Montalban), but her life unravels when he dies unexpectedly. Her mother-in-law (Constance Bennett) advises Holly to leave Clay and their baby and start a new life. Years later, when a petty criminal (Burgess Meredith) tries to blackmail Holly, who is now a prostitute, things get even worse for her.",,NR,"Art House & International, Classics, Drama",David Lowell Rich,"David Lowell Rich, Jean Holloway","Lana Turner, John Forsythe, Constance Bennett, Keir Dullea, Ricardo Montalban, Burgess Meredith, John Van Dreelen, Virginia Grey, Warren Stevens, Carl Benton Reid, Teddy Quinn, Frank Maxwell, Kaaren Verne, Joe De Santis, Frank Marth, Bing Russell, Teno Pollick, Jeff Burton, Jill Jackson, Neil Hamilton, Duncan McLeod, Ruben Moreno, Rodolfo Hoyos Jr., George Dega, Mark Miranda, Byrd Holland, Kris Tel, Brad Logan, Richard Tretter, Matilda Calhan, Paul Bradley",4/27/1966,8/30/2016,99,Universal,Fresh,60,5,Upright,80,681,0,3,2
m/1014137-monkey_business,Monkey Business,The four Marx Brothers star in their first film written specifically for the screen as stowaways on an ocean liner bound for New York. Each of them has a separate adventure on board; from matinee idol Zeppo's romancing of a bootlegger's daughter to Groucho having to avoid the attentions of gangster's moll Lucille Briggs.,,NR,"Classics, Comedy","Norman McLeod, Norman Z. McLeod","Arthur Sheekman, S.J. Perelman","Groucho Marx, Harpo Marx, Chico Marx, Zeppo Marx, Thelma Todd, Ruth Hall, Harry Woods, Tom Kennedy, Rockliffe Fellowes, Ben Taggart, Evelyn Pierce, Maxine Castle, Eddie Baker, Otto H. Fries, Marx Brothers",9/19/1931,2/11/2017,78,MCA Universal Home Video,Fresh,94,18,Upright,84,7678,0,17,1
m/1014370-mummy,The Mummy,"A team of British archaeologists led by Sir Joseph Whemple (Arthur Byron) discover the mummified remains of the ancient Egyptian prince Imhotep (Boris Karloff), along with the legendary scroll of Thoth. When one of the archaeologists recites the scroll aloud, Imhotep returns to life, but escapes. Several years later, Imhotep has taken on the guise of a wealthy man, as he searches Egypt for his lost love, who he believes has been reincarnated as the lovely Helen Grosvenor (Zita Johann).","Relying more on mood and atmosphere than the thrills typical of modern horror fare, Universal's The Mummy sets a masterful template for mummy-themed films to follow.",NR,"Classics, Horror, Romance",Karl W. Freund,John L. Balderston,"Boris Karloff, Zita Johann, David Manners, Edward Van Sloan, A.S. Byron, Arthur Byron, Bramwell Fletcher, Noble Johnson, Leonard Mudie, Katherine Byron, Eddie Kane, Tony Marlow, Arnold Gray, Kathleen Byron, James Crane, Henry Victor",12/22/1932,4/19/2016,72,Universal Pictures,Certified-Fresh,88,42,Upright,72,12317,7,37,5
m/1014536-my_man_godfrey,My Man Godfrey,"Fifth Avenue socialite Irene Bullock (Carole Lombard) needs a ""forgotten man"" to win a scavenger hunt, and no one is more forgotten than Godfrey Park (William Powell), who resides in a dump by the East River. Irene hires Godfrey as a servant for her riotously unhinged family, to the chagrin of her spoiled sister, Cornelia (Gail Patrick), who tries her best to get Godfrey fired. As Irene falls for her new butler, Godfrey turns the tables and teaches the frivolous Bullocks a lesson or two.","A class satire in a class of its own, My Man Godfrey's screwball comedy is as sharp as the social commentary is biting.",G,"Classics, Comedy, Drama, Romance",Gregory La Cava,"Morrie Ryskind, Eric Hatch, Gregory La Cava","William Powell, Carole Lombard, Eugene Pallette, Alice Brady, Gail Patrick, Alan Mowbray, Jean Dixon, Mischa Auer, Robert Light, Pat Flaherty, Bob Perry, Franklin Pangborn, Selmer Jackson, Robert Perry, Phyllis Crane, Jean Rogers, Grady Sutton, Jack Chefe, Eddie Featherston, Edward Gargan, James Flavin, Arthur Singley, Reginald Mason, Jane Wyman, Bess Flowers, Grace Field, Selmar Jackson, Katherine Perry, Harley Wood, David Ward, Elaine Cochrane, David S. Horsley, Philip Merrick, Chick Collins, Ernie S. Adams, Arthur Wanzer, Eddie Fetherstone",9/6/1936,2/12/2014,95,Universal Pictures,Fresh,97,37,Upright,90,7647,7,36,1
m/1015095-nighthawks,Nighthawks,"Fresh from mounting a devastating bomb attack in London, an international terrorist arrives in New York and remains intent upon wreaking further havoc. His preparation is clinical and thorough but he overlooks one thing - the grit and steely determination of one New York cop.",,R,Action & Adventure,Bruce Malmuth,"David Shaber, Paul Sylbert","Sylvester Stallone, Lindsay Wagner, Persis Khambatta, Nigel Davenport, Hilarie Thompson, Joe Spinell, Walter Mathews, Hilary Thompson, E. Brian Dean, Tony Munafo, Howard Stein, Tawn Christian, Jamie Gillis, Luke Reilly, Yvette Hawkins, Walter Mac Neil, Einar Perry Scott, Jacques Roux, Clebert Ford, Eivind Harum, Obaka Adedunyo, Corine Lorain, Jean-Pierre Stewart, Thomas Rosales Jr., Jose Santana, Patrick Fox, John Cianfrone, Tim Marquart, Tony Maffatone, Tom Degidon, Rita Tellone, Al Cerullo, Karl Wickman, Brian Osborne, Robert Pugh, Frederick Treves, Zoya Leporska, Susan Vanner, Cliff Cudney, Joe Dabenigno, Catherine Mary Stewart, Steve Daskawisz, John Devaney, Jim Beaver, Paul Farentino, Edward Fox, Randy Francklan, Caesar Cordova, Billy Dee Williams, Rutger Hauer, Charles Duval, Al Levitsky, Richard Noyce, Dar Robinson, Judee Wales, Luke Walter",4/4/1981,5/23/2016,99,MCA Universal Home Video,Fresh,70,20,Spilled,54,7370,4,14,6
m/1015383-odd_man_out,Odd Man Out,"A wounded fugitive's dark odyssey through the streets of Belfast. Following a ""fundraising"" robbery which goes horribly wrong, the badly injured, abandoned, and increasingly delirious IRA leader wanders the city in search of an escape route from the British authorities.",,NR,"Classics, Drama, Mystery & Suspense",Carol Reed,"F.L. Green, R.C. Sherriff","James Mason, Kathleen Ryan, Robert Newton, London Symphony Orchestra, Robert Beatty, William Hartnell, F.J. McCormick, Fay Compton, Beryl Measor, Cyril Cusack, Dan O'Herlihy, Roy Irving, Maureen Delaney, Kitty Kirwan, Min Milligan, Joseph Tomelty, W.G. Fay, Arthur Hambling, Denis O'Dea, Elwyn Brook-Jones, Anne Clery, Maura Milligan, Eddie Byrne, Maureen Cusack, Pat McGrath, Dora Bryan, Guy Rolfe, Geoffrey Keen",4/23/1947,5/23/2017,115,Universal Pictures,Fresh,100,30,Upright,86,1969,8,30,0
m/1016240-phantom_of_the_opera,Phantom Of The Opera,"Composer Lord Ambrose D'Arcy (Michael Gough) and his backer, Harry Hunter (Edward De Souza), struggle to find a replacement for the female lead in their new opera after she quits in the wake of a gruesome murder. When a new prospect, the nubile Christine Charles (Heather Sears), disappears, Harry cautiously investigates. Meanwhile, a mysterious masked man (Herbert Lom) who is eerily familiar with the opera holds Christine captive and offers to groom her to play the part.","Decades later, it still retains its ability to scare -- and Lon Chaney's performance remains one of the benchmarks of the horror genre.",NR,"Classics, Drama, Horror","Lon Chaney Jr, Rupert Julian, Edward Sedgwick","Elliott J. Clawson, Raymond L. Schrock, Tom Reed, Frank M. McCormack","Lon Chaney, Mary Philbin, Norman Kerry, Snitz Edwards, Gibson Gowland, Edward Martindel, John St. Polis, Virginia Pearson, Arthur Edmund Carewe, Edith Yorke, Anton Vaverka, Bernard Siegel, Olive Ann Alcorn, Cesare Gravina, George B. Williams, Bruce Covington, Edward Cecil, Alexander Bevani, Grace Marvin, Ward Crane, John Miljan, George B. William, Chester Conklin, William Tryoler",11/15/1925,11/10/2016,84,Universal Pictures,Certified-Fresh,90,50,Upright,84,17462,11,45,5
m/1016365-pirates_of_penzance,The Pirates of Penzance,"Frederic (Rex Smith), who has spent his formative years as a junior pirate, plans to mark his 21st birthday by breaking free from the Pirate King (Kevin Kline) and beginning his courtship of Mabel (Linda Ronstadt). But because he was born on Feb. 29, a date that only arrives every fourth year, Frederic isn't technically 21 -- and the Pirate King is still his master. Unless something gives, Frederic will soon be on a collision course with the Pirate King's new nemesis: Mabel's father.",,G,"Action & Adventure, Classics, Comedy, Musical & Performing Arts",Wilford Leach,Wilford Leach,"Kevin Kline, Linda Ronstadt, Rex Smith, Angela Lansbury, George Rose, Tony Azito, John Bett, David Hatton, Louise Gold, Romolo Bruni, Teresa Codling, Zulema Dene, Carol MacReady, G.B. ""Zoot"" Money, Linda Spurrier, Peppi Borza, Mike Grady, Maurice Lane, Preston Lockwood, Clare McIntyre, Tilly Vosburgh, Nancy Wood, William Elliott",2/18/1983,9/11/2015,112,Universal Studios,Fresh,81,16,Upright,83,8477,3,13,3
